"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","IIIF Access URL","Rights.copyrightStatus","Subject","Name.subject","Rights.countryCreation","Language","Name.repository","Type.typeOfResource","Rights.permission","Name.interviewer","Type.genre","Subject.uniformTitle","Name.sponsor","Name.contributor","Date.creation","Relation.isPartOf","Title","Alt ID.local","Description.fundingNote","Relation.describedIn","Date.normalized","Format.extent","Description.note","Coverage.geographic","Coverage.spatialLatitude","Coverage.spatialLongitude","Relation.relatedTo","Description.abstract","viewingHint","Text direction","Visibility","IIIF Range"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz0015w1xw","","2","Completed","Collection","","","","","","copyrighted","African American musicians","","US","","","sound recording","","","","","","SOUL Publications, Inc.","[between 1955 and 2002]","SOUL Publications, Inc. records, 1955-2002 (Collection PASC 342). Library Special Collections, University of California, Los Angeles.","SOUL Publications, Inc. records, 1955-2002","Collection PASC 342","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1955/2002","70 document boxes (35 linear feet), 6 shoeboxes, 1 oversize box","SOUL Publications was established in 1966 in Los Angeles by Regina and Ken Jones. The impetus for SOUL was the Watts Riots, which inspired local newsman Ken Jones to develop a vehicle for documenting and expressing the African American perspective in a self-representative way. Equipped with his vision and the industrious drive of his wife, Regina Jones, the company initially focused on providing promotion and recognition for Black musicians, who received scant publicity at that time. Its publications grew to include other aspects of Black cultural production, including film, television, literature, and the visual arts.","","","","","SOUL Magazine was the principal publication of SOUL Publications, Inc., a Los Angeles-based enterprise founded by Regina and Ken Jones in 1966. Initially established to engender greater visibility for Black artists in the music industry, SOUL ultimately provided a space for critical engagement with Black artistic expression as well as social issues. The collection includes newspaper and magazine issues, research and clipping files on artists and public figures, audio cassettes of interviews and performances, photographs, and administrative files.","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvwr6","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc.wav","8","","","","copyrighted","","","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Unknown interviewee, possibly from February 24 1969","uclapasc_342_057_001_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 audiocassette (00:30:59)","an incorrect title was initially entered in the metadata, which may have been taken from the cassetteCentury Plaza, February 24 1969|~|Side B is blank.","Century City (Los Angeles, Calif.)","34.057432728549244","-118.41582655906677","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvwsq","ark:/21198/zz0015w1xw","2","Completed","Work","","9","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvwsq%2F8345jp78","copyrighted","","Braun, Mark Lincoln","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","[between 1987 and 2002]","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Mr. B (i.e. Mark Lincoln Braun) #1 and Mr. B #2, undated","uclapasc_342_057_002_a|~|uclapasc_342_057_002_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1987/2002","1 audio cassette (01:05:15)","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvwt7","ark:/21198/zz0015w1xw","2","Completed","Work","","10","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvwt7%2F7s64061s","copyrighted","","Davis, Sammy, 1925-1990|~|Braun, Mark Lincoln","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","August 1979","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Mr. B (i.e. Mark Lincoln Braun) #3 and Sammy D. (i.e. Sammy Davis, Jr.), August 1979","uclapasc_342_057_003_a|~|uclapasc_342_057_003_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1979-08","1 audio cassette (01:05:57)","Date pertains to Sammy D.; most likely refers to Sammy Davis, Jr.","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvwvr","ark:/21198/zz0015w1xw","2","Completed","Work","","11","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvwvr%2Fbw32g32s","copyrighted","","Knight, Gladys, $d 1944-|~|Gladys Knight and the Pips","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","April 1980","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Gladys Knight & the Pips, April 1980","uclapasc_342_057_004_a|~|uclapasc_342_057_004_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1980-04","1 audio cassette (01:34:56)","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvww8","ark:/21198/zz0015w1xw","2","Completed","Work","","12","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvww8%2Fdf44r11x","copyrighted","","Ross, Diana, $d 1944-","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","1970","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Diana Ross Show, Vegas 1970","uclapasc_342_057_005_b|~|uclapasc_342_057_005_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1970","1 audio cassette (00:57:46)","","Las Vegas (Nev.)","36.175","-115.136389","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvwxs","ark:/21198/zz0015w1xw","2","Completed","Work","","13","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvwxs%2Fdb61095f","copyrighted","","Franklin, Carolyn","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","[1970s?]","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Carolyn Franklin, 1970s?","uclapasc_342_057_006_a|~|uclapasc_342_057_006_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1970/1979","1 audio cassette (01:04:38)","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvwz9","ark:/21198/zz0015w1xw","2","Completed","Work","","14","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvwz9%2Fgh94nf5s","copyrighted","","Davis, Sammy, 1925-1990","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","December 20, 1970","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Sammy Davis Jr., Vegas, December 20 1970","uclapasc_342_057_007_a|~|uclapasc_342_057_007_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1970-12-20","1 audiocassette (00:53:55)","Refers to Sammy Davis, Jr.","Las Vegas (Nev.)","36.10320862309423","-115.17362594604492","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvx09","ark:/21198/zz0015w1xw","2","Completed","Work","","15","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvx09%2Fzs37dw9w","copyrighted","","King, B. B.","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","January 1970","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","B.B. King, January 1970","uclapasc_342_057_008_a|~|uclapasc_342_057_008_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1970-01","1 audiocassette (01:05:56)","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvx1t","ark:/21198/zz0015w1xw","2","Completed","Work","","16","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvx1t%2F9c81kr10","copyrighted","","Tyson, Cicely","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","Jamaica Film Festival","","September, 1972","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Cicely Tyson and Jamaica Film Festival, September 1972","uclapasc_342_057_009_a|~|uclapasc_342_057_009_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1972-09","1 audiocassette (01:04:35)","","Kingston (Jamaica)","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvx2b","ark:/21198/zz0015w1xw","2","Completed","Work","","18","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvx2b%2F9h69k78b","copyrighted","","Wonder, Stevie","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","1960s","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Stevie Wonder ca. 1960s","uclapasc_342_057_010_b|~|uclapasc_342_057_010_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1960/1969","1 audiocassette (01:23:55)","Although date was included, the year is illegible. It appears to be from the late 1960s.","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvx3v","ark:/21198/zz0015w1xw","2","Completed","Work","","20","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvx3v%2Fhq597s7v","copyrighted","","Knight, Gladys, $d 1944-|~|Gladys Knight and the Pips","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","[between 1967 and 1989?]","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Gladys Knight & the Pips undated","uclapasc_342_057_011_a|~|uclapasc_342_057_011_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1967/1989","1 audiocassette (01:03:32)","Undated recording most likely made between 1967 and 1989.","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvx4c","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc.wav","22","","","","copyrighted","","Reeves, Martha","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","May 17, 1971","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Martha Reeves, May 17, 1971","uclapasc_342_057_012_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1971-05-17","1 audiocassette (00:48:24)","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvx5w","ark:/21198/zz0015w1xw","2","Completed","Work","","23","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvx5w%2F4822jw8g","copyrighted","","Davis, Sammy, 1925-1990","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","Spiegelman, Judy","compact cassette","","","","June 21, 1980","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Sammy Davis, Jr. for Judy Spiegelman, June 21, 1980","uclapasc_342_057_013_a|~|uclapasc_342_057_013_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1980-06-21","1 audiocassette (01:32:57)","","","","","","","","","",""
